project_id,state,district,latitude,longitude,project_type,budget_crore,progress_percent,status,start_date,expected_completion
243,Uttar Pradesh,Varanasi,25.3176,82.9739,Smart City Infrastructure,44,77,Near Completion,2025-03-20,2027-02-25
244,Uttar Pradesh,Agra,27.1767,78.0081,Bridge Construction,401,67,Ongoing,2024-11-23,2025-11-26
245,Uttar Pradesh,Agra,27.1767,78.0081,Solar Power Plant,485,38,Ongoing,2025-10-21,2026-09-28
246,Uttar Pradesh,Agra,27.1767,78.0081,School Infrastructure,197,95,Near Completion,2024-10-05,2025-07-26
247,Uttar Pradesh,Agra,27.1767,78.0081,Hospital Development,311,2,Ongoing,2024-04-17,2026-01-09
248,Uttar Pradesh,Agra,27.1767,78.0081,Road Construction,74,7,Ongoing,2024-12-18,2027-02-22
249,Uttar Pradesh,Noida,28.5355,77.391,Hospital Development,195,45,Ongoing,2023-08-14,2025-07-23
250,Uttar Pradesh,Noida,28.5355,77.391,Smart City Infrastructure,385,39,Ongoing,2024-09-06,2026-11-14
251,Uttar Pradesh,Noida,28.5355,77.391,Solar Power Plant,301,82,Near Completion,2023-07-25,2025-03-26
252,Uttar Pradesh,Noida,28.5355,77.391,Smart City Infrastructure,167,51,Ongoing,2024-11-23,2025-11-14
253,Uttar Pradesh,Noida,28.5355,77.391,Road Construction,198,11,Ongoing,2023-11-06,2026-01-26
254,Uttar Pradesh,Noida,28.5355,77.391,Metro Expansion,405,89,Near Completion,2025-11-26,2027-01-18
255,Uttar Pradesh,Noida,28.5355,77.391,Road Construction,423,70,Ongoing,2025-08-05,2027-10-04
256,Uttar Pradesh,Noida,28.5355,77.391,Solar Power Plant,488,82,Near Completion,2025-09-07,2026-06-02
257,Uttar Pradesh,Noida,28.5355,77.391,Solar Power Plant,108,96,Near Completion,2025-07-12,2027-11-29
258,Uttar Pradesh,Noida,28.5355,77.391,Road Construction,459,20,Ongoing,2024-05-02,2026-04-19
259,Uttar Pradesh,Noida,28.5355,77.391,Bridge Construction,157,88,Near Completion,2024-05-10,2026-03-19
260,Uttar Pradesh,Noida,28.5355,77.391,Hospital Development,492,80,Near Completion,2023-09-20,2025-11-20
261,Uttar Pradesh,Noida,28.5355,77.391,Water Supply Project,65,51,Ongoing,2024-07-11,2025-05-17
262,Uttar Pradesh,Noida,28.5355,77.391,Metro Expansion,37,42,Ongoing,2024-02-20,2026-06-08
263,Uttar Pradesh,Ghaziabad,28.6692,77.4538,Hospital Development,423,95,Near Completion,2025-07-06,2027-05-07
264,Uttar Pradesh,Ghaziabad,28.6692,77.4538,Metro Expansion,304,26,Ongoing,2024-10-25,2026-08-22
265,Uttar Pradesh,Ghaziabad,28.6692,77.4538,Smart City Infrastructure,312,96,Near Completion,2025-06-23,2027-10-30
266,Uttar Pradesh,Ghaziabad,28.6692,77.4538,Hospital Development,327,57,Ongoing,2025-11-06,2028-01-04
267,Uttar Pradesh,Ghaziabad,28.6692,77.4538,Water Supply Project,219,61,Ongoing,2025-03-26,2025-12-24
268,Uttar Pradesh,Ghaziabad,28.6692,77.4538,Hospital Development,493,25,Ongoing,2024-12-03,2025-12-13
269,Uttar Pradesh,Ghaziabad,28.6692,77.4538,Water Supply Project,223,4,Ongoing,2023-09-01,2025-11-13
270,Uttar Pradesh,Ghaziabad,28.6692,77.4538,Metro Expansion,193,87,Near Completion,2024-06-19,2026-03-17
271,Uttar Pradesh,Ghaziabad,28.6692,77.4538,Hospital Development,154,8,Ongoing,2024-06-11,2025-07-12
272,Uttar Pradesh,Meerut,28.9845,77.7064,Smart City Infrastructure,68,55,Ongoing,2024-11-21,2027-03-08
273,Uttar Pradesh,Meerut,28.9845,77.7064,School Infrastructure,333,49,Ongoing,2025-09-10,2027-10-21
274,Uttar Pradesh,Meerut,28.9845,77.7064,Metro Expansion,442,76,Near Completion,2025-10-04,2027-10-20
275,Uttar Pradesh,Meerut,28.9845,77.7064,Water Supply Project,171,92,Near Completion,2024-10-21,2026-06-12
276,Uttar Pradesh,Meerut,28.9845,77.7064,Hospital Development,406,67,Ongoing,2025-10-26,2026-11-02
277,Uttar Pradesh,Meerut,28.9845,77.7064,Hospital Development,270,79,Near Completion,2025-01-25,2027-03-13
278,Uttar Pradesh,Meerut,28.9845,77.7064,Hospital Development,353,54,Ongoing,2025-09-17,2026-11-04
279,Uttar Pradesh,Meerut,28.9845,77.7064,Smart City Infrastructure,77,62,Ongoing,2025-05-24,2027-01-12
280,Uttar Pradesh,Prayagraj,25.4358,81.8463,School Infrastructure,306,26,Ongoing,2023-09-07,2025-08-22
281,Uttar Pradesh,Prayagraj,25.4358,81.8463,Metro Expansion,241,83,Near Completion,2024-03-13,2025-08-05
282,Uttar Pradesh,Prayagraj,25.4358,81.8463,School Infrastructure,302,86,Near Completion,2025-08-13,2027-01-24
283,Uttar Pradesh,Prayagraj,25.4358,81.8463,Bridge Construction,497,47,Ongoing,2023-12-29,2025-12-24
284,Uttar Pradesh,Prayagraj,25.4358,81.8463,Smart City Infrastructure,188,88,Near Completion,2024-04-20,2024-12-17
285,Uttar Pradesh,Prayagraj,25.4358,81.8463,Bridge Construction,378,1,Ongoing,2025-01-31,2027-03-04
286,Uttar Pradesh,Prayagraj,25.4358,81.8463,School Infrastructure,246,32,Ongoing,2024-06-08,2026-01-28
287,Uttar Pradesh,Prayagraj,25.4358,81.8463,Solar Power Plant,95,61,Ongoing,2023-09-14,2025-05-09
288,Uttar Pradesh,Prayagraj,25.4358,81.8463,Bridge Construction,94,21,Ongoing,2025-07-21,2027-03-25
289,Rajasthan,Jaipur,26.9124,75.7873,Road Construction,390,10,Ongoing,2023-11-13,2025-08-01
290,Rajasthan,Jaipur,26.9124,75.7873,School Infrastructure,60,96,Near Completion,2023-06-15,2024-11-04
291,Rajasthan,Jaipur,26.9124,75.7873,Hospital Development,85,83,Near Completion,2023-10-31,2024-06-07
292,Rajasthan,Jaipur,26.9124,75.7873,Solar Power Plant,311,0,Ongoing,2025-11-08,2027-09-10
293,Rajasthan,Jaipur,26.9124,75.7873,Solar Power Plant,230,6,Ongoing,2024-08-31,2025-09-09
294,Rajasthan,Jaipur,26.9124,75.7873,Solar Power Plant,457,71,Near Completion,2024-12-15,2025-10-01
295,Rajasthan,Jaipur,26.9124,75.7873,Metro Expansion,245,33,Ongoing,2025-09-18,2027-03-18
296,Rajasthan,Jaipur,26.9124,75.7873,School Infrastructure,278,54,Ongoing,2023-12-25,2025-06-28
297,Rajasthan,Jaipur,26.9124,75.7873,School Infrastructure,212,36,Ongoing,2024-02-12,2024-12-22
298,Rajasthan,Jaipur,26.9124,75.7873,Smart City Infrastructure,125,18,Ongoing,2024-10-23,2025-06-27
299,Rajasthan,Jaipur,26.9124,75.7873,Solar Power Plant,64,46,Ongoing,2024-03-23,2026-09-08
300,Rajasthan,Jodhpur,26.2389,73.0243,Hospital Development,375,99,Near Completion,2023-07-04,2024-07-07
301,Rajasthan,Jodhpur,26.2389,73.0243,Road Construction,458,60,Ongoing,2024-12-08,2026-11-10
302,Rajasthan,Jodhpur,26.2389,73.0243,School Infrastructure,385,37,Ongoing,2024-07-24,2025-08-11
303,Rajasthan,Jodhpur,26.2389,73.0243,Water Supply Project,179,77,Near Completion,2024-03-26,2025-02-18
304,Rajasthan,Jodhpur,26.2389,73.0243,Smart City Infrastructure,207,66,Ongoing,2023-12-04,2024-09-09
305,Rajasthan,Jodhpur,26.2389,73.0243,Smart City Infrastructure,222,62,Ongoing,2024-08-09,2026-10-17
306,Rajasthan,Jodhpur,26.2389,73.0243,Smart City Infrastructure,134,98,Near Completion,2024-08-16,2026-11-14
307,Rajasthan,Jodhpur,26.2389,73.0243,Road Construction,237,48,Ongoing,2024-12-06,2027-04-01
308,Rajasthan,Jodhpur,26.2389,73.0243,School Infrastructure,132,24,Ongoing,2023-06-18,2025-08-10
309,Rajasthan,Jodhpur,26.2389,73.0243,Solar Power Plant,43,20,Ongoing,2025-05-29,2027-08-12
310,Rajasthan,Udaipur,24.5854,73.7125,Bridge Construction,330,73,Near Completion,2025-02-28,2027-08-03
311,Rajasthan,Udaipur,24.5854,73.7125,Hospital Development,325,13,Ongoing,2025-03-26,2025-10-21
312,Rajasthan,Udaipur,24.5854,73.7125,School Infrastructure,227,72,Near Completion,2025-09-20,2027-12-31
313,Rajasthan,Udaipur,24.5854,73.7125,Water Supply Project,302,47,Ongoing,2024-02-11,2025-03-04
314,Rajasthan,Udaipur,24.5854,73.7125,School Infrastructure,321,74,Near Completion,2023-12-19,2024-10-02
315,Rajasthan,Udaipur,24.5854,73.7125,School Infrastructure,77,22,Ongoing,2024-07-24,2025-11-16
316,Rajasthan,Udaipur,24.5854,73.7125,Metro Expansion,447,18,Ongoing,2025-06-14,2027-06-12
317,Rajasthan,Kota,25.2138,75.8648,School Infrastructure,77,40,Ongoing,2024-10-29,2025-11-05
318,Rajasthan,Kota,25.2138,75.8648,Metro Expansion,61,24,Ongoing,2025-05-23,2027-05-10
319,Rajasthan,Kota,25.2138,75.8648,Road Construction,491,94,Near Completion,2023-10-09,2024-06-27
320,Rajasthan,Kota,25.2138,75.8648,Solar Power Plant,188,19,Ongoing,2023-07-05,2025-04-16
321,Rajasthan,Kota,25.2138,75.8648,Solar Power Plant,93,56,Ongoing,2023-09-08,2025-03-13
322,Rajasthan,Kota,25.2138,75.8648,Solar Power Plant,234,48,Ongoing,2024-11-04,2027-01-02
323,Rajasthan,Kota,25.2138,75.8648,Water Supply Project,317,14,Ongoing,2024-08-18,2027-02-03
324,Rajasthan,Kota,25.2138,75.8648,Water Supply Project,25,46,Ongoing,2024-01-05,2025-01-03
325,Rajasthan,Kota,25.2138,75.8648,Metro Expansion,485,43,Ongoing,2024-09-25,2026-10-27
326,Rajasthan,Kota,25.2138,75.8648,Solar Power Plant,478,39,Ongoing,2025-05-30,2026-07-26
327,Rajasthan,Kota,25.2138,75.8648,School Infrastructure,485,15,Ongoing,2023-12-24,2025-03-26
328,Rajasthan,Kota,25.2138,75.8648,Metro Expansion,325,54,Ongoing,2025-04-20,2026-04-24
329,Rajasthan,Kota,25.2138,75.8648,Road Construction,434,48,Ongoing,2023-12-11,2026-05-24
330,Rajasthan,Kota,25.2138,75.8648,School Infrastructure,286,92,Near Completion,2023-07-31,2024-12-08
331,Rajasthan,Ajmer,26.4499,74.6399,School Infrastructure,410,71,Near Completion,2024-05-06,2025-11-23
332,Rajasthan,Ajmer,26.4499,74.6399,Hospital Development,114,74,Near Completion,2025-01-11,2025-09-26
333,Rajasthan,Ajmer,26.4499,74.6399,Smart City Infrastructure,342,34,Ongoing,2025-01-11,2026-08-17
334,Rajasthan,Ajmer,26.4499,74.6399,Road Construction,316,42,Ongoing,2024-03-27,2025-05-21
335,Rajasthan,Ajmer,26.4499,74.6399,Water Supply Project,266,38,Ongoing,2025-11-08,2027-03-17
336,Rajasthan,Ajmer,26.4499,74.6399,Water Supply Project,117,91,Near Completion,2025-04-16,2027-01-12
337,Rajasthan,Ajmer,26.4499,74.6399,Bridge Construction,215,3,Ongoing,2024-11-28,2027-04-30
338,Rajasthan,Ajmer,26.4499,74.6399,Road Construction,202,51,Ongoing,2023-06-18,2024-01-20
339,Rajasthan,Ajmer,26.4499,74.6399,Solar Power Plant,442,82,Near Completion,2025-01-01,2026-05-10
340,Rajasthan,Ajmer,26.4499,74.6399,Water Supply Project,375,85,Near Completion,2024-03-06,2024-09-23
341,Rajasthan,Ajmer,26.4499,74.6399,Solar Power Plant,142,21,Ongoing,2024-04-29,2026-03-03
342,Rajasthan,Ajmer,26.4499,74.6399,Water Supply Project,31,38,Ongoing,2024-09-02,2025-08-21
343,Rajasthan,Ajmer,26.4499,74.6399,Bridge Construction,183,70,Ongoing,2025-03-15,2025-12-04
344,Rajasthan,Bikaner,28.0229,73.3119,Metro Expansion,332,100,Completed,2024-03-30,2026-05-27
345,Rajasthan,Bikaner,28.0229,73.3119,Metro Expansion,189,53,Ongoing,2024-02-16,2024-09-15
346,Rajasthan,Bikaner,28.0229,73.3119,Road Construction,232,85,Near Completion,2025-11-09,2026-09-21
347,Rajasthan,Bikaner,28.0229,73.3119,Hospital Development,40,33,Ongoing,2025-02-07,2027-06-30
348,Rajasthan,Bikaner,28.0229,73.3119,Water Supply Project,93,48,Ongoing,2025-03-13,2027-04-20
349,Rajasthan,Bikaner,28.0229,73.3119,Smart City Infrastructure,91,44,Ongoing,2025-04-02,2026-08-25
350,Rajasthan,Bikaner,28.0229,73.3119,Water Supply Project,383,23,Ongoing,2024-04-06,2026-06-05
351,Gujarat,Ahmedabad,23.0225,72.5714,Hospital Development,157,97,Near Completion,2025-07-13,2026-08-02
352,Gujarat,Ahmedabad,23.0225,72.5714,Smart City Infrastructure,227,29,Ongoing,2024-11-21,2027-02-01
353,Gujarat,Ahmedabad,23.0225,72.5714,Solar Power Plant,277,27,Ongoing,2024-10-18,2026-10-31
354,Gujarat,Ahmedabad,23.0225,72.5714,Smart City Infrastructure,231,61,Ongoing,2025-10-17,2026-08-31
355,Gujarat,Ahmedabad,23.0225,72.5714,Water Supply Project,490,84,Near Completion,2024-12-21,2025-11-05
356,Gujarat,Ahmedabad,23.0225,72.5714,Hospital Development,385,78,Near Completion,2025-03-01,2027-06-11
357,Gujarat,Ahmedabad,23.0225,72.5714,Bridge Construction,98,12,Ongoing,2025-11-11,2027-08-18
358,Gujarat,Ahmedabad,23.0225,72.5714,Water Supply Project,159,95,Near Completion,2023-06-16,2025-05-10
359,Gujarat,Ahmedabad,23.0225,72.5714,Metro Expansion,459,94,Near Completion,2025-08-05,2027-11-21
360,Gujarat,Ahmedabad,23.0225,72.5714,Smart City Infrastructure,206,29,Ongoing,2024-08-01,2025-07-23
361,Gujarat,Ahmedabad,23.0225,72.5714,Bridge Construction,119,0,Ongoing,2025-04-24,2026-03-01
362,Gujarat,Ahmedabad,23.0225,72.5714,Water Supply Project,64,16,Ongoing,2023-11-21,2024-07-14
363,Gujarat,Ahmedabad,23.0225,72.5714,Hospital Development,40,57,Ongoing,2024-02-25,2026-01-27
364,Gujarat,Ahmedabad,23.0225,72.5714,Bridge Construction,67,72,Near Completion,2025-06-22,2027-11-29
365,Gujarat,Surat,21.1702,72.8311,School Infrastructure,471,56,Ongoing,2024-11-06,2026-11-11
366,Gujarat,Surat,21.1702,72.8311,Solar Power Plant,161,69,Ongoing,2024-02-01,2024-09-12
367,Gujarat,Surat,21.1702,72.8311,Hospital Development,386,6,Ongoing,2025-07-26,2027-11-28
368,Gujarat,Surat,21.1702,72.8311,Road Construction,119,21,Ongoing,2023-11-12,2026-01-06
369,Gujarat,Surat,21.1702,72.8311,Bridge Construction,211,9,Ongoing,2023-12-11,2024-09-11
370,Gujarat,Surat,21.1702,72.8311,School Infrastructure,73,55,Ongoing,2025-06-27,2027-06-24
371,Gujarat,Surat,21.1702,72.8311,Road Construction,43,70,Ongoing,2024-07-19,2025-07-04
372,Gujarat,Surat,21.1702,72.8311,Metro Expansion,161,4,Ongoing,2024-03-01,2025-08-11
373,Gujarat,Surat,21.1702,72.8311,School Infrastructure,268,0,Ongoing,2025-06-24,2027-08-19
374,Gujarat,Surat,21.1702,72.8311,Road Construction,121,21,Ongoing,2023-12-30,2026-03-20
375,Gujarat,Surat,21.1702,72.8311,School Infrastructure,294,54,Ongoing,2024-05-28,2026-06-21
376,Gujarat,Surat,21.1702,72.8311,Smart City Infrastructure,287,60,Ongoing,2024-01-05,2026-04-16
377,Gujarat,Vadodara,22.3072,73.1812,Hospital Development,424,41,Ongoing,2024-07-07,2026-08-14
378,Gujarat,Vadodara,22.3072,73.1812,Smart City Infrastructure,268,85,Near Completion,2024-12-16,2026-06-07
379,Gujarat,Vadodara,22.3072,73.1812,Bridge Construction,194,41,Ongoing,2025-04-23,2027-01-18
380,Gujarat,Vadodara,22.3072,73.1812,Smart City Infrastructure,314,27,Ongoing,2024-05-24,2026-02-07
381,Gujarat,Vadodara,22.3072,73.1812,Smart City Infrastructure,166,51,Ongoing,2025-03-15,2026-08-01
382,Gujarat,Rajkot,22.3039,70.8022,School Infrastructure,255,57,Ongoing,2024-02-27,2024-10-21
383,Gujarat,Rajkot,22.3039,70.8022,Metro Expansion,126,1,Ongoing,2023-08-02,2024-07-05
384,Gujarat,Rajkot,22.3039,70.8022,Metro Expansion,223,2,Ongoing,2025-07-29,2027-06-30
385,Gujarat,Rajkot,22.3039,70.8022,Metro Expansion,223,68,Ongoing,2024-04-03,2025-08-26
386,Gujarat,Rajkot,22.3039,70.8022,Bridge Construction,403,86,Near Completion,2025-09-02,2027-01-01
387,Gujarat,Rajkot,22.3039,70.8022,Metro Expansion,378,34,Ongoing,2023-09-29,2024-05-12
388,Gujarat,Rajkot,22.3039,70.8022,School Infrastructure,26,18,Ongoing,2025-04-14,2027-07-31
389,Gujarat,Rajkot,22.3039,70.8022,Solar Power Plant,495,96,Near Completion,2024-12-24,2026-02-23
390,Gujarat,Bhavnagar,21.7645,72.1519,Road Construction,130,24,Ongoing,2024-02-22,2026-02-15
391,Gujarat,Bhavnagar,21.7645,72.1519,Smart City Infrastructure,107,14,Ongoing,2025-01-14,2025-11-23
392,Gujarat,Bhavnagar,21.7645,72.1519,School Infrastructure,474,17,Ongoing,2023-06-23,2025-07-31
393,Gujarat,Bhavnagar,21.7645,72.1519,School Infrastructure,146,59,Ongoing,2023-07-27,2024-07-03
394,Gujarat,Bhavnagar,21.7645,72.1519,Bridge Construction,90,29,Ongoing,2025-03-08,2027-01-25
395,Gujarat,Bhavnagar,21.7645,72.1519,Road Construction,461,45,Ongoing,2025-09-07,2027-01-20
396,Gujarat,Bhavnagar,21.7645,72.1519,Metro Expansion,174,8,Ongoing,2024-09-16,2026-03-19
397,Gujarat,Bhavnagar,21.7645,72.1519,Smart City Infrastructure,351,95,Near Completion,2025-01-02,2026-12-05
398,Gujarat,Bhavnagar,21.7645,72.1519,Smart City Infrastructure,225,44,Ongoing,2023-11-06,2024-06-16
399,West Bengal,Kolkata,22.5726,88.3639,Solar Power Plant,248,61,Ongoing,2025-02-25,2026-09-19
400,West Bengal,Kolkata,22.5726,88.3639,Bridge Construction,109,4,Ongoing,2025-01-16,2027-04-16
401,West Bengal,Kolkata,22.5726,88.3639,School Infrastructure,78,78,Near Completion,2025-07-23,2026-05-04
402,West Bengal,Kolkata,22.5726,88.3639,Water Supply Project,41,18,Ongoing,2023-11-01,2025-12-15
403,West Bengal,Kolkata,22.5726,88.3639,Bridge Construction,280,3,Ongoing,2024-05-17,2026-07-29
404,West Bengal,Kolkata,22.5726,88.3639,Hospital Development,138,74,Near Completion,2024-04-05,2026-04-11
405,West Bengal,Kolkata,22.5726,88.3639,Metro Expansion,485,82,Near Completion,2024-09-01,2026-06-27
406,West Bengal,Kolkata,22.5726,88.3639,Road Construction,406,98,Near Completion,2023-12-06,2025-04-11
407,West Bengal,Kolkata,22.5726,88.3639,Solar Power Plant,215,83,Near Completion,2024-05-05,2026-06-14
408,West Bengal,Kolkata,22.5726,88.3639,Metro Expansion,90,72,Near Completion,2024-06-12,2025-02-02
409,West Bengal,Kolkata,22.5726,88.3639,Bridge Construction,53,67,Ongoing,2024-06-07,2025-01-15
410,West Bengal,Kolkata,22.5726,88.3639,Metro Expansion,140,27,Ongoing,2025-05-15,2027-08-14
411,West Bengal,Kolkata,22.5726,88.3639,Metro Expansion,272,98,Near Completion,2024-03-04,2024-11-28
412,West Bengal,Kolkata,22.5726,88.3639,School Infrastructure,193,9,Ongoing,2024-11-08,2026-10-31
413,West Bengal,Kolkata,22.5726,88.3639,Hospital Development,436,25,Ongoing,2024-07-30,2026-08-08
414,West Bengal,Howrah,22.5958,88.2636,Solar Power Plant,380,85,Near Completion,2025-04-17,2027-04-19
415,West Bengal,Howrah,22.5958,88.2636,Road Construction,454,34,Ongoing,2025-02-09,2026-01-26
416,West Bengal,Howrah,22.5958,88.2636,School Infrastructure,141,56,Ongoing,2024-12-09,2026-08-12
417,West Bengal,Howrah,22.5958,88.2636,Bridge Construction,230,3,Ongoing,2025-02-27,2027-03-20
418,West Bengal,Howrah,22.5958,88.2636,Bridge Construction,461,40,Ongoing,2024-10-08,2025-05-19
419,West Bengal,Howrah,22.5958,88.2636,Bridge Construction,262,70,Ongoing,2023-09-05,2025-11-06
420,West Bengal,Howrah,22.5958,88.2636,Solar Power Plant,202,40,Ongoing,2025-05-14,2027-03-25
421,West Bengal,Howrah,22.5958,88.2636,Solar Power Plant,288,1,Ongoing,2024-09-20,2027-01-20
422,West Bengal,Howrah,22.5958,88.2636,Bridge Construction,274,64,Ongoing,2024-06-02,2026-02-04
423,West Bengal,Howrah,22.5958,88.2636,Bridge Construction,299,0,Ongoing,2024-12-12,2026-04-26
424,West Bengal,Durgapur,23.5204,87.3119,Hospital Development,276,29,Ongoing,2024-04-24,2026-04-03
425,West Bengal,Durgapur,23.5204,87.3119,School Infrastructure,292,38,Ongoing,2025-05-19,2026-06-30
426,West Bengal,Durgapur,23.5204,87.3119,Bridge Construction,462,4,Ongoing,2024-09-02,2025-12-10
427,West Bengal,Durgapur,23.5204,87.3119,School Infrastructure,69,93,Near Completion,2024-04-18,2026-03-20
428,West Bengal,Durgapur,23.5204,87.3119,Solar Power Plant,403,58,Ongoing,2024-12-20,2027-02-11
429,West Bengal,Durgapur,23.5204,87.3119,Bridge Construction,352,99,Near Completion,2024-10-30,2026-07-12
430,West Bengal,Durgapur,23.5204,87.3119,Smart City Infrastructure,60,20,Ongoing,2024-02-18,2024-09-17
431,West Bengal,Durgapur,23.5204,87.3119,Solar Power Plant,231,46,Ongoing,2025-05-27,2026-04-20
432,West Bengal,Durgapur,23.5204,87.3119,Road Construction,20,92,Near Completion,2025-03-27,2026-11-18
433,West Bengal,Durgapur,23.5204,87.3119,Hospital Development,462,17,Ongoing,2025-05-26,2027-07-20
434,West Bengal,Durgapur,23.5204,87.3119,Solar Power Plant,320,7,Ongoing,2024-08-30,2025-11-02
435,West Bengal,Durgapur,23.5204,87.3119,Hospital Development,487,43,Ongoing,2024-09-14,2025-04-26
436,West Bengal,Durgapur,23.5204,87.3119,Bridge Construction,361,74,Near Completion,2025-09-06,2028-01-20
437,West Bengal,Siliguri,26.7271,88.3953,Road Construction,311,77,Near Completion,2024-05-07,2024-12-20
438,West Bengal,Siliguri,26.7271,88.3953,Hospital Development,30,1,Ongoing,2025-09-03,2027-04-21
439,West Bengal,Siliguri,26.7271,88.3953,Water Supply Project,306,49,Ongoing,2024-11-20,2025-10-15
440,West Bengal,Siliguri,26.7271,88.3953,Road Construction,430,99,Near Completion,2024-03-04,2025-06-29
441,West Bengal,Siliguri,26.7271,88.3953,Hospital Development,294,72,Near Completion,2025-08-15,2026-03-04
442,West Bengal,Siliguri,26.7271,88.3953,Water Supply Project,392,34,Ongoing,2023-11-03,2025-05-07
443,West Bengal,Asansol,23.6739,86.9524,Solar Power Plant,130,34,Ongoing,2025-01-04,2025-11-19
444,West Bengal,Asansol,23.6739,86.9524,Bridge Construction,62,46,Ongoing,2025-06-21,2026-12-19
445,West Bengal,Asansol,23.6739,86.9524,Water Supply Project,412,17,Ongoing,2025-07-18,2026-12-18
446,West Bengal,Asansol,23.6739,86.9524,Bridge Construction,169,74,Near Completion,2024-08-23,2025-07-18
447,West Bengal,Asansol,23.6739,86.9524,Bridge Construction,425,85,Near Completion,2024-12-05,2025-08-05
448,West Bengal,Asansol,23.6739,86.9524,Road Construction,310,91,Near Completion,2024-12-14,2025-10-31
449,West Bengal,Asansol,23.6739,86.9524,Hospital Development,276,83,Near Completion,2023-10-02,2026-02-26
450,West Bengal,Asansol,23.6739,86.9524,Hospital Development,217,58,Ongoing,2025-02-27,2027-05-01
451,West Bengal,Asansol,23.6739,86.9524,Hospital Development,343,43,Ongoing,2024-06-19,2026-04-13
452,West Bengal,Asansol,23.6739,86.9524,Bridge Construction,75,46,Ongoing,2024-01-06,2026-05-27
453,West Bengal,Asansol,23.6739,86.9524,School Infrastructure,344,87,Near Completion,2025-05-26,2026-12-17
454,Telangana,Hyderabad,17.385,78.4867,Road Construction,184,92,Near Completion,2024-10-18,2026-05-16
455,Telangana,Hyderabad,17.385,78.4867,Solar Power Plant,148,26,Ongoing,2025-10-07,2027-04-04
456,Telangana,Hyderabad,17.385,78.4867,Bridge Construction,385,51,Ongoing,2023-09-17,2026-03-03
457,Telangana,Hyderabad,17.385,78.4867,Road Construction,399,86,Near Completion,2025-03-14,2026-10-29
458,Telangana,Hyderabad,17.385,78.4867,School Infrastructure,380,53,Ongoing,2023-09-24,2025-01-10
459,Telangana,Hyderabad,17.385,78.4867,Road Construction,375,31,Ongoing,2024-05-25,2026-03-22
460,Telangana,Hyderabad,17.385,78.4867,Smart City Infrastructure,390,12,Ongoing,2025-07-29,2027-09-01
461,Telangana,Hyderabad,17.385,78.4867,Water Supply Project,187,79,Near Completion,2025-08-28,2026-05-16
462,Telangana,Hyderabad,17.385,78.4867,Metro Expansion,135,54,Ongoing,2023-09-04,2025-12-01
463,Telangana,Hyderabad,17.385,78.4867,Metro Expansion,407,84,Near Completion,2023-08-11,2025-06-01
464,Telangana,Hyderabad,17.385,78.4867,Hospital Development,64,79,Near Completion,2024-01-24,2024-12-01
465,Telangana,Warangal,17.9689,79.5941,Hospital Development,310,24,Ongoing,2023-11-02,2024-11-16
466,Telangana,Warangal,17.9689,79.5941,Road Construction,245,27,Ongoing,2024-05-23,2025-10-04
467,Telangana,Warangal,17.9689,79.5941,Road Construction,335,25,Ongoing,2024-04-24,2025-12-06
468,Telangana,Warangal,17.9689,79.5941,Solar Power Plant,392,58,Ongoing,2025-07-07,2026-05-24
469,Telangana,Warangal,17.9689,79.5941,Solar Power Plant,222,56,Ongoing,2024-05-25,2026-10-08
470,Telangana,Warangal,17.9689,79.5941,Road Construction,63,52,Ongoing,2023-07-21,2024-03-06
471,Telangana,Warangal,17.9689,79.5941,Hospital Development,57,60,Ongoing,2024-02-17,2025-09-21
472,Telangana,Warangal,17.9689,79.5941,Solar Power Plant,224,85,Near Completion,2024-01-16,2026-02-27
473,Telangana,Warangal,17.9689,79.5941,Water Supply Project,247,95,Near Completion,2025-09-13,2027-04-08
474,Telangana,Warangal,17.9689,79.5941,Water Supply Project,431,82,Near Completion,2025-02-06,2026-03-17
475,Telangana,Warangal,17.9689,79.5941,Smart City Infrastructure,292,95,Near Completion,2023-09-18,2025-02-08
476,Telangana,Warangal,17.9689,79.5941,School Infrastructure,484,63,Ongoing,2025-01-15,2025-12-12
477,Telangana,Warangal,17.9689,79.5941,Water Supply Project,181,55,Ongoing,2025-02-21,2026-05-10
478,Telangana,Karimnagar,18.4386,79.1288,Water Supply Project,319,98,Near Completion,2023-10-02,2024-07-09
479,Telangana,Karimnagar,18.4386,79.1288,Road Construction,38,10,Ongoing,2024-12-31,2025-10-31
480,Telangana,Karimnagar,18.4386,79.1288,Smart City Infrastructure,447,42,Ongoing,2024-01-11,2025-08-23
481,Telangana,Karimnagar,18.4386,79.1288,Metro Expansion,181,92,Near Completion,2025-09-19,2027-10-27
482,Telangana,Karimnagar,18.4386,79.1288,Bridge Construction,333,2,Ongoing,2025-07-31,2028-01-11
483,Telangana,Karimnagar,18.4386,79.1288,Water Supply Project,107,3,Ongoing,2025-01-03,2026-11-01
484,Andhra Pradesh,Visakhapatnam,17.6868,83.2185,Road Construction,423,35,Ongoing,2025-03-26,2027-04-08
485,Andhra Pradesh,Visakhapatnam,17.6868,83.2185,Solar Power Plant,93,92,Near Completion,2023-06-20,2024-07-05
486,Andhra Pradesh,Visakhapatnam,17.6868,83.2185,Bridge Construction,397,69,Ongoing,2023-07-28,2025-05-22
487,Andhra Pradesh,Visakhapatnam,17.6868,83.2185,Smart City Infrastructure,244,84,Near Completion,2025-11-19,2026-09-30
